hcat4_code,hcat4_name,link,eagle_code,eagle_name,eagle_seasonality_code,eagle_seasonality_name
3310000000,arable_crops,=,LCH-5_1_6_1,Arable Crops,,
3310100000,cereal,=,LCH-5_1_6_1_1,Cereals,,
3310101000,common_soft_wheat,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,,
3310101001,winter_common_soft_wheat,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,LCH-5_1_8_3,Winter Crop Season
3310101002,spring_common_soft_wheat,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,LCH-5_1_8_2,Summer Crop Season
3310101008,unspecified_season_common_soft_wheat,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,,
3310102000,durum_hard_wheat,=,LCH-5_1_6_1_1_2,Durum Wheat,,
3310102001,winter_durum_hard_wheat,=,LCH-5_1_6_1_1_2,Durum Wheat,LCH-5_1_8_3,Winter Crop Season
3310102002,spring_durum_hard_wheat,=,LCH-5_1_6_1_1_2,Durum Wheat,LCH-5_1_8_2,Summer Crop Season
3310102008,unspecified_season_durum_hard_wheat,~,LCH-5_1_6_1_1_2,Durum Wheat,,
3310103000,rye,=,LCH-5_1_6_1_1_3,Rye,,
3310103001,winter_rye,=,LCH-5_1_6_1_1_3,Rye,LCH-5_1_8_3,Winter Crop Season
3310103002,spring_rye,=,LCH-5_1_6_1_1_3,Rye,LCH-5_1_8_2,Summer Crop Season
3310103008,unspecified_season_rye,~,LCH-5_1_6_1_1_3,Rye,,
3310104000,barley,=,LCH-5_1_6_1_1_4,Barley,,
3310104001,winter_barley,=,LCH-5_1_6_1_1_4,Barley,LCH-5_1_8_3,Winter Crop Season
3310104002,spring_barley,=,LCH-5_1_6_1_1_4,Barley,LCH-5_1_8_2,Summer Crop Season
3310104008,unspecified_season_barley,,LCH-5_1_6_1_1_4,Barley,,
3310105000,oats,=,LCH-5_1_6_1_1_5,Oats,,
3310105001,winter_oats,=,LCH-5_1_6_1_1_5,Oats,LCH-5_1_8_3,Winter Crop Season
3310105002,spring_oats,=,LCH-5_1_6_1_1_5,Oats,LCH-5_1_8_2,Summer Crop Season
3310105008,unspecified_season_oats,,LCH-5_1_6_1_1_5,Oats,,
3310106000,maize_corn_popcorn,=,LCH-5_1_6_1_1_6,Maize,,
3310107000,rice,=,LCH-5_1_6_1_1_7,Rice,,
3310108000,triticale,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310108001,winter_triticale,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_3,Winter Crop Season
3310108002,spring_triticale,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_2,Summer Crop Season
3310108008,unspecified_season_triticale,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310109000,millet,=,LCH-5_1_6_1_1_8,Millet,,
3310110000,spelt,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,,
3310110001,winter_spelt,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,LCH-5_1_8_3,Winter Crop Season
3310110002,spring_spelt,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,LCH-5_1_8_2,Summer Crop Season
3310110008,unspecified_season_spelt,<,LCH-5_1_6_1_1_1,Common Wheat and Spelt,,
3310111000,mixed_grains,~,LCH-5_1_6_1_1_9,Other Cereals,,
3310111001,winter_mixed_grains,~,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_3,Winter Crop Season
3310111002,spring_mixed_grains,~,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_2,Summer Crop Season
3310111008,unspecified_season_mixed_grains,,LCH-5_1_6_1_1_9,Other Cereals,,
3310112000,emmer,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310112001,winter_emmer,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_3,Winter Crop Season
3310112002,spring_emmer,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_2,Summer Crop Season
3310112008,unspecified_season_emmer,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310113000,einkorn,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310113001,winter_einkorn,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_3,Winter Crop Season
3310113002,spring_einkorn,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_2,Summer Crop Season
3310113008,unspecified_season_einkorn,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310115000,teff,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310116000,sorghum,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310199000,other_cereals,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310199001,winter_other_cereals,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_3,Winter Crop Season
3310199002,spring_other_cereals,<,LCH-5_1_6_1_1_9,Other Cereals,LCH-5_1_8_2,Summer Crop Season
3310199008,unspecified_season_other_cereals,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310200000,legumes,>,LCH-5_1_6_1_2,Pulses and Protein Crops,,
3310201000,beans,=,LCH-5_1_6_1_2_2,Beans,,
3310202000,peanuts,=,LCH-5_1_6_1_2_7,Peanuts,,
3310203000,soy_soybeans,=,LCH-5_1_6_1_2_5,Soya,,
3310204000,chickpeas,=,LCH-5_1_6_1_2_6,Chickpeas,,
3310214000,fenugreek,<,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310205000,lentils,=,LCH-5_1_6_1_2_3,Lentils,,
3310206000,peas,=,LCH-5_1_6_1_2_1,Peas,,
3310207000,lupins,>,LCH-5_1_6_1_2_4,Sweet Lupins,,
3310208000,alfalfa_lucerne,<,LCH-5_1_6_1_3,"                    Clover,Vetch,Lupins,Lucerne",,
3310209000,serradella,~<,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310210000,clover,<,LCH-5_1_6_1_3,"                    Clover,Vetch,Lupins,Lucerne",,
3310211000,melilot,~<,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310212000,vetches,<,LCH-5_1_6_1_3,"                    Clover,Vetch,Lupins,Lucerne",,
3310213000,onobrychis_sainfoins,~<,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310215000,galega,~<,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310216000,birdsfoot_treifoil,~<,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310299000,other_legumes,~,LCH-5_1_6_1_2_8,Other Dry Pulses,,
3310600000,industrial_nonfood_crops,>,LCH-5_1_6_1_10,Oilseed or Fibre Crops,,
3310601000,tobacco,=,LCH-5_1_6_1_10_1,Tobacco,,
3310602000,hops,=,LCH-5_1_6_1_10_2,Hops,,
3310603000,cotton,=,LCH-5_1_6_1_10_6,Cotton,,
3310604000,oilseed_crops,<,LCH-5_1_6_1_10,Oilseed or Fibre Crops,,
3310604010,rapeseed_rape,=,LCH-5_1_6_1_10_3,Rape and Turnip Rape,,
3310604011,winter_rapeseed_rape,=,LCH-5_1_6_1_10_3,Rape and Turnip Rape,LCH-5_1_8_3,Winter Crop Season
3310604012,spring_rapeseed_rape,=,LCH-5_1_6_1_10_3,Rape and Turnip Rape,LCH-5_1_8_2,Summer Crop Season
3310604013,summer_rapeseed_rape,=,LCH-5_1_6_1_10_3,Rape and Turnip Rape,LCH-5_1_8_2,Summer Crop Season
3310604018,unspecified_season_rapeseed_rape,~,LCH-5_1_6_1_10_3,Rape and Turnip Rape,,
3310604020,sunflower,=,LCH-5_1_6_1_10_4,Sunflower,,
3310604030,guizotia_abyssinica_nyger,<,LCH-5_1_6_1_10_9,Other Oilseed or Fibre Crops,,
3310604990,other_oilseed_crops,<,LCH-5_1_6_1_10_9,Other Oilseed or Fibre Crops,,
3310606000,poppy,<,LCH-5_1_6_1_10_9,Other Oilseed or Fibre Crops,,
3310606001,winter_poppy,<,LCH-5_1_6_1_10_9,Other Oilseed or Fibre Crops,LCH-5_1_8_3,Winter Crop Season
3310606002,summer_poppy,<,LCH-5_1_6_1_10_9,Other Oilseed or Fibre Crops,LCH-5_1_8_2,Summer Crop Season
3310607000,flax_linseed,=,LCH-5_1_6_1_10_7,Flax,LCH-5_1_6_1_10_5,"                        Linseed,Oil Flax"
3310610000,hemp_cannabis,=,LCH-5_1_6_1_10_8,Hemp,,
3310610010,finola,=,LCH-5_1_6_1_10_8,Hemp,,
3310611000,fibre_crops,<,LCH-5_1_6_1_10,Oilseed or Fibre Crops,,
3310612000,aromatic_medicinal_culinary_plants_spices_herbs,=,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612010,actaea_baneberry_christopher_herbs,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612020,alchemilla_ladys_mantle,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612030,anethum_dill,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612040,angelica,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612050,anise_aniseed,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612060,artemisia,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612070,basil,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612080,black_cumin,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612090,borage,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612100,calendula_marigold,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612110,caraway,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612120,catnip,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612130,chamomile,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612140,chervil,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612150,coriander,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612170,galium_bedstraw,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612180,hibiscus,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612190,lavender_lavandula,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612200,lemon_balm_melissa,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612210,lovage_maggiplant,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612220,mints_peppermint,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612230,moldavian_dragonhead,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612240,nasturtiums,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612250,nettles,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612260,oregano,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612270,parsley,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612280,piper_pepper,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612290,polygonum,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612300,rosemary,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612310,moonseed,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612320,saffron_crocus_sativus,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612330,silver_comb,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612340,st_johns_wort,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612350,sage_chia,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612360,tarragon,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612370,thyme,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612380,valerian,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612390,yarrow,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612400,marian_thistles,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310612990,other_aromatic_medicinal_culinary_plants_spices_herbs,<,LCH-5_1_6_1_11,"                    Aromatic,Medicinal,Culinary Herbs",,
3310613000,rubia_tinctorum_common_madder,<,LCH-5_1_5_3,Industrial Crop,,
3310614000,isatis_tinctoria_woad,<,LCH-5_1_5_3,Industrial Crop,,
3310615000,camelina,<,LCH-5_1_6_1_10_9,Other Oilseed or Fibre Crops,,
3310617000,energy_crops,<,LCH-5_1_6_3_13,Herbaceous Biomass Crops,,
3310617010,igniscum_candy,<,LCH-5_1_6_3_13,Herbaceous Biomass Crops,,
3310617020,sida_virginia_mallow,<,LCH-5_1_6_3_13,Herbaceous Biomass Crops,,
3310617030,miscanthus_silvergrass,<,LCH-5_1_6_3_13,Herbaceous Biomass Crops,,
3310617990,other_energy_crops,<,LCH-5_1_6_3_13,Herbaceous Biomass Crops,,
3310699000,other_industrial_crops,<,LCH-5_1_5_3,Industrial Crop,,
3310700000,fresh_vegetables,>,LCH-5_1_6_1_7,"                    Leaf,Stalk,Flowering Vegetable Crops",,
3310701000,strawberries,=,LCH-5_1_6_1_13,Strawberries,,
3310702000,cucurbits,=,LCH-5_1_6_1_9,Cucurbit Crops,,
3310702010,cucumber_pickle,=,LCH-5_1_6_1_9_1,Cucumbers,,
3310702020,honeydew,<,LCH-5_1_6_1_9_3,Melons,,
3310702030,melon,=,LCH-5_1_6_1_9_3,Melons,,
3310702040,pumpkin_squash_gourd,>,LCH-5_1_6_1_9_4,Pumpkins,,
3310702050,watermelon,<,LCH-5_1_6_1_9,Cucurbit Crops,,
3310702060,zucchini_courgette,=,LCH-5_1_6_1_9_2,Zucchini,,
3310702990,other_cucurbits,~,LCH-5_1_6_1_9,Cucurbit Crops,,
3310703000,pseudocereal,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310703010,amaranth,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310703020,buckwheat,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310703030,quinoa,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310703990,other_pseudocereal,<,LCH-5_1_6_1_1_9,Other Cereals,,
3310704000,fennel,<,LCH-5_1_6_1_7,"                    Leaf,Stalk,Flowering Vegetable Crops",,
3310705000,topinambur_jerusalem_artichoke,<,LCH-5_1_6_1_4,Root And Tuber Crops,,
3310706000,asparagus,=,LCH-5_1_6_1_7_2,Asparagus,,
3310707000,brassicaceae_cruciferae,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707010,mustard,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707020,bok_choy_pak_choi,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707030,broccoli,=,LCH-5_1_6_1_6_5,Broccoli,,
3310707040,brussels_sprouts,=,LCH-5_1_6_1_6_2,Brussels Sprout,,
3310707050,cauliflower,=,LCH-5_1_6_1_6_4,Cauliflower,,
3310707060,chinese_cabbage,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707070,collard_greens,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707080,gai_lan,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707090,kale,<,LCH-5_1_6_1_6,"                    Cole Crops,Brassica oleracea",,
3310707100,kohlrabi,<,LCH-5_1_6_1_6_3,"                        Stem Cabbage,Kohlrabi",,
3310707110,red_cabbage,<,LCH-5_1_6_1_6_1,"                        White,Green,Red Cabbage",,
3310707120,savoy_cabbage,=,LCH-5_1_6_1_6_6,Savoy Cabbage,,
