nuts,year,column_name,column_type,type,ToKeep
BE2,2008,ALVID,Integer64,,0
BE2,2008,GEWASGROEP,String,group_name,1
BE2,2008,HFDTLT,String,original_code,1
BE2,2008,LBLHFDTLT,String,original_name,1
BE2,2008,LBLPM,String,,0
EE,2008,niitmise_tuvast_ajavahemik,String,,0
EE,2008,niitmise_tuvastamise_staatus,String,,0
BE2,2008,OIDN,Integer64,,0
EE,2008,pindala_ha,Real,off_area,1
BE2,2008,PM,String,,0
EE,2008,pollu_id,Integer,off_id,1
BE2,2008,SHAPE_STAr,Real,off_area,1
BE2,2008,SHAPE_STLe,Real,,0
EE,2008,taotleja_nimi,String,,0
EE,2008,taotleja_registrikood,String,,0
EE,2008,taotletud_kultuur,String,original_name,1
EE,2008,taotletud_maakasutus,String,,0
EE,2008,taotletud_toetus,String,,0
EE,2008,taotletud_toetus2,String,,0
EE,2008,taotlusaasta,Integer,,0
BE2,2008,UIDN,Integer64,off_id,1
BE2,2009,ALVID,Integer64,,0
NL,2009,CAT_GEWASCATEGORIE, String ,group_code,1
BE2,2009,GEWASGROEP,String,group_name,1
NL,2009,GWS_GEWAS, String ,original_name,1
NL,2009,GWS_GEWASCODE, String ,original_code,1
BE2,2009,HFDTLT,String,original_code,1
BE2,2009,LBLHFDTLT,String,original_name,1
BE2,2009,LBLPM,String,,0
EE,2009,niitmise_tuvast_ajavahemik,String,,0
EE,2009,niitmise_tuvastamise_staatus,String,,0
BE2,2009,OIDN,Integer64,,0
EE,2009,pindala_ha,Real,off_area,1
BE2,2009,PM,String,,0
EE,2009,pollu_id,Integer,off_id,1
NL,2009,Shape_Area, Real ,,0
NL,2009,Shape_Length, Real ,,0
BE2,2009,SHAPE_STAr,Real,off_area,1
BE2,2009,SHAPE_STLe,Real,,0
EE,2009,taotleja_nimi,String,,0
EE,2009,taotleja_registrikood,String,,0
EE,2009,taotletud_kultuur,String,original_name,1
EE,2009,taotletud_maakasutus,String,,0
EE,2009,taotletud_toetus,String,,0
EE,2009,taotletud_toetus2,String,,0
EE,2009,taotlusaasta,Integer,,0
BE2,2009,UIDN,Integer64,off_id,1
DK,2010,AFGR_DENAV,String,original_name,1
DK,2010,AFGRKODE,Real,original_code,1
BE2,2010,ALVID,Integer64,,0
DK,2010,ANSNR,String,,0
DE4,2010,ANTRAGSJAH,Integer,,0
DK,2010,AREAL_HA,Real,off_area,1
DE4,2010,BINDUNG,String,,0
DK,2010,BLOKNR,String,,0
DE4,2010,BODENNUTZU,String,,0
NL,2010,CAT_GEWASCATEGORIE, String ,group_code,1
DE4,2010,FB_FLIK,String,,0
DK,2010,GEONAME,String,,0
BE2,2010,GEWASGROEP,String,group_name,1
DE4,2010,GROESSE_P,Real,off_area,1
NL,2010,GWS_GEWAS, String ,original_name,1
NL,2010,GWS_GEWASCODE, String ,original_code,1
BE2,2010,HFDTLT,String,original_code,1
DK,2010,HOESTAAR,Integer64,,0
DE4,2010,K_ART,Integer,original_code,1
DE4,2010,K_ART_N,String,,0
DE4,2010,K_ART_NAME,String,,0
DK,2010,KOL_6,Real,,0
DK,2010,KOL_7,Real,,0
DE4,2010,KREIS_NR,Integer,,0
DE4,2010,LAND,String,,0
BE2,2010,LBLHFDTLT,String,original_name,1
BE2,2010,LBLPM,String,,0
DE4,2010,LFDNR,Integer64,,0
EE,2010,niitmise_tuvast_ajavahemik,String,,0
EE,2010,niitmise_tuvastamise_staatus,String,,0
BE2,2010,OIDN,Integer64,,0
EE,2010,pindala_ha,Real,off_area,1
BE2,2010,PM,String,,0
EE,2010,pollu_id,Integer,off_id,1
DE4,2010,PR_BINDUNG,String,,0
DE4,2010,SHAPE_AREA,Real,,0
NL,2010,Shape_Area, Real ,,0
DE4,2010,SHAPE_LEN,Real,,0
BE2,2010,SHAPE_STAr,Real,off_area,1
BE2,2010,SHAPE_STLe,Real,,0
EE,2010,taotleja_nimi,String,,0
EE,2010,taotleja_registrikood,String,,0
EE,2010,taotletud_kultuur,String,original_name,1
EE,2010,taotletud_maakasutus,String,,0
EE,2010,taotletud_toetus,String,,0
EE,2010,taotletud_toetus2,String,,0
EE,2010,taotlusaasta,Integer,,0
BE2,2010,UIDN,Integer64,off_id,1
DK,2011,Afgkode,Real,original_code,1
DK,2011,Afgroede,String,original_name,1
BE2,2011,ALVID,Integer64,,0
DE4,2011,ANTRAGSJAH,Integer,,0
DE4,2011,BINDUNG,String,,0
DE4,2011,BODENNUTZU,String,,0
NL,2011,CAT_GEWASCATEGORIE, String ,group_code,1
DK,2011,CVR,String,,0
DE4,2011,FB_FLIK,String,,0
DK,2011,GB,Real,,0
NL,2011,GEOMETRIE_Area, Real ,,0
NL,2011,GEOMETRIE_Length, Real ,,0
BE2,2011,GEWASGROEP,String,group_name,1
DE4,2011,GROESSE_P,Real,off_area,1
NL,2011,GWS_GEWAS, String ,original_name,1
NL,2011,GWS_GEWASCODE, String ,original_code,1
BE2,2011,HFDTLT,String,original_code,1
DK,2011,IMK_areal,Real,off_area,1
DE4,2011,K_ART,Integer,original_code,1
DE4,2011,K_ART_N,String,,0
DE4,2011,K_ART_NAME,String,,0
DE4,2011,KREIS_NR,Integer,,0
DE4,2011,LAND,String,,0
BE2,2011,LBLHFDTLT,String,original_name,1
BE2,2011,LBLPM,String,,0
DE4,2011,LFDNR,Integer64,,0
DK,2011,Marknr,String,,0
EE,2011,niitmise_tuvast_ajavahemik,String,,0
EE,2011,niitmise_tuvastamise_staatus,String,,0
BE2,2011,OIDN,Integer64,,0
EE,2011,pindala_ha,Real,off_area,1
BE2,2011,PM,String,,0
EE,2011,pollu_id,Integer,off_id,1
DE4,2011,PR_BINDUNG,String,,0
DE4,2011,SHAPE_AREA,Real,,0
DE4,2011,SHAPE_LEN,Real,,0
BE2,2011,SHAPE_STAr,Real,off_area,1
BE2,2011,SHAPE_STLe,Real,,0
EE,2011,taotleja_nimi,String,,0
EE,2011,taotleja_registrikood,String,,0
EE,2011,taotletud_kultuur,String,original_name,1
EE,2011,taotletud_maakasutus,String,,0
EE,2011,taotletud_toetus,String,,0
EE,2011,taotletud_toetus2,String,,0
EE,2011,taotlusaasta,Integer,,0
BE2,2011,UIDN,Integer64,off_id,1
DK,2012,Afgkode,Real,original_code,1
DK,2012,Afgroede,String,original_name,1
BE2,2012,ALVID,Integer64,,0
DE4,2012,ANTRAGSJAH,Integer64,,0
DE4,2012,BINDUNG,String,,0
DE4,2012,BODENNUTZU,String,,0
NL,2012,CAT_GEWASCATEGORIE, String ,group_code,1
DK,2012,CVR,String,,0
DE4,2012,FB_FLIK,String,,0
DK,2012,GB,Real,,0
NL,2012,GEOMETRIE_Area, Real ,,0
NL,2012,GEOMETRIE_Length, Real ,,0
BE2,2012,GEWASGROEP,String,group_name,1
DE4,2012,GROESSE_P,Real,off_area,1
NL,2012,GWS_GEWAS, String ,original_name,1
NL,2012,GWS_GEWASCODE, String ,original_code,1
BE2,2012,HFDTLT,String,original_code,1
DK,2012,IMK_areal,Real,off_area,1
DE4,2012,K_ART,Integer64,original_code,1
DE4,2012,K_ART_KULT,String,original_name,1
DE4,2012,K_ART_N,String,,0
DE4,2012,K_ART_NAME,String,,0
DE4,2012,KREIS_NR,Integer64,,0
DE4,2012,LAND,String,,0
BE2,2012,LBLHFDTLT,String,original_name,1
BE2,2012,LBLPM,String,,0
DE4,2012,LFDNR,Real,,0
DK,2012,Marknr,String,,0
EE,2012,niitmise_tuvast_ajavahemik,String,,0
EE,2012,niitmise_tuvastamise_staatus,String,,0
BE2,2012,OIDN,Integer64,,0
EE,2012,pindala_ha,Real,off_area,1
BE2,2012,PM,String,,0
EE,2012,pollu_id,Integer,off_id,1
DE4,2012,PR_BINDUNG,String,,0
DE4,2012,SHAPE_AREA,Real,,0
DE4,2012,SHAPE_LEN,Real,,0
BE2,2012,SHAPE_STAr,Real,off_area,1
BE2,2012,SHAPE_STLe,Real,,0
EE,2012,taotleja_nimi,String,,0
EE,2012,taotleja_registrikood,String,,0
EE,2012,taotletud_kultuur,String,original_name,1
EE,2012,taotletud_maakasutus,String,,0
EE,2012,taotletud_toetus,String,,0
EE,2012,taotletud_toetus2,String,,0
EE,2012,taotlusaasta,Integer,,0
BE2,2012,UIDN,Integer64,off_id,1
DK,2013,Afgkode,Real,original_code,1
DK,2013,Afgroede,String,original_name,1
BE2,2013,ALVID,Integer64,,0
DE4,2013,ANTRAGSJAH,Integer,,0
DE4,2013,BINDUNG,String,,0
DE4,2013,BODENNUTZU,String,,0
NL,2013,CAT_GEWASCATEGORIE, String ,group_code,1
DK,2013,CVR,String,,0
DE4,2013,FB_FLIK,String,,0
DK,2013,GB,Real,,0
NL,2013,GEOMETRIE_Area, Real ,,0
NL,2013,GEOMETRIE_Length, Real ,,0
BE2,2013,GEWASGROEP,String,group_name,1
DE4,2013,GROESSE_P,Real,off_area,1
NL,2013,GWS_GEWAS, String ,original_name,1
NL,2013,GWS_GEWASCODE, String ,original_code,1
BE2,2013,HFDTLT,String,original_code,1
DK,2013,IMK_areal,Real,off_area,1
DE4,2013,K_ART,Integer,original_code,1
DE4,2013,K_ART_KULT,String,original_name,1
DE4,2013,K_ART_N,String,,0
DE4,2013,K_ART_NAME,String,,0
DE4,2013,KREIS_NR,Integer,,0
DE4,2013,LAND,String,,0
BE2,2013,LBLHFDTLT,String,original_name,1
BE2,2013,LBLPM,String,,0
DE4,2013,LFDNR,Integer64,,0
DK,2013,Marknr,String,,0
EE,2013,niitmise_tuvast_ajavahemik,String,,0
EE,2013,niitmise_tuvastamise_staatus,String,,0
BE2,2013,OIDN,Integer64,,0
EE,2013,pindala_ha,Real,off_area,1
BE2,2013,PM,String,,0
EE,2013,pollu_id,Integer,off_id,1
DE4,2013,PR_BINDUNG,String,,0
DE4,2013,SHAPE_AREA,Real,,0
DE4,2013,SHAPE_LEN,Real,,0
BE2,2013,SHAPE_STAr,Real,off_area,1
BE2,2013,SHAPE_STLe,Real,,0
EE,2013,taotleja_nimi,String,,0
EE,2013,taotleja_registrikood,String,,0
EE,2013,taotletud_kultuur,String,original_name,1
EE,2013,taotletud_maakasutus,String,,0
EE,2013,taotletud_toetus,String,,0
EE,2013,taotletud_toetus2,String,,0
EE,2013,taotlusaasta,Integer,,0
BE2,2013,UIDN,Integer64,off_id,1
DK,2014,Afgkode,Real,original_code,1
DK,2014,Afgroede,String,original_name,1
BE2,2014,ALVID,Integer64,,0
DE4,2014,ANTRAGSJAH,Integer,,0
DE4,2014,BINDUNG,String,,0
DE4,2014,BODENNUTZU,String,,0
NL,2014,CAT_GEWASCATEGORIE, String ,group_code,1
DK,2014,CVR,String,,0
DE4,2014,FB_FLIK,String,,0
DK,2014,GB,Real,,0
NL,2014,GEOMETRIE_Area, Real ,,0
NL,2014,GEOMETRIE_Length, Real ,,0
BE2,2014,GEWASGROEP,String,group_name,1
DE4,2014,GROESSE_P,Real,off_area,1
NL,2014,GWS_GEWAS, String ,original_name,1
NL,2014,GWS_GEWASCODE, String ,original_code,1
BE2,2014,HFDTLT,String,original_code,1
DK,2014,IMK_areal,Real,off_area,1
DK,2014,Journalnr,String,,0
DE4,2014,K_ART,Integer,original_code,1
DE4,2014,K_ART_KULT,String,original_name,1
DE4,2014,K_ART_N,String,,0
DE4,2014,K_ART_NAME,String,,0
DE4,2014,KREIS_NR,Integer,,0
DE4,2014,LAND,String,,0
BE2,2014,LBLHFDTLT,String,original_name,1
BE2,2014,LBLPM,String,,0
DE4,2014,LFDNR,Integer64,,0
DK,2014,Marknr,String,,0
EE,2014,niitmise_tuvast_ajavahemik,String,,0
EE,2014,niitmise_tuvastamise_staatus,String,,0
BE2,2014,OIDN,Integer64,,0
EE,2014,pindala_ha,Real,off_area,1
BE2,2014,PM,String,,0
EE,2014,pollu_id,Integer,off_id,1
DE4,2014,PR_BINDUNG,String,,0
DE4,2014,SHAPE_AREA,Real,,0
DE4,2014,SHAPE_LEN,Real,,0
BE2,2014,SHAPE_STAr,Real,off_area,1
BE2,2014,SHAPE_STLe,Real,,0
EE,2014,taotleja_nimi,String,,0
EE,2014,taotleja_registrikood,String,,0
EE,2014,taotletud_kultuur,String,original_name,1
EE,2014,taotletud_maakasutus,String,,0
EE,2014,taotletud_toetus,String,,0
EE,2014,taotletud_toetus2,String,,0
EE,2014,taotlusaasta,Integer,,0
BE2,2014,UIDN,Integer64,off_id,1
BE3,2015,_CLIPPED,String,,0
DK,2015,Afgkode,Real,original_code,1
DK,2015,Afgroede,String,original_name,1
BE2,2015,ALVID,Integer64,,0
DE4,2015,ANTRAGSJAH,Integer,,0
BE2,2015,area_ha,Real,,0
DE4,2015,BINDUNG,String,,0
DE4,2015,BODENNUTZU,String,,0
BE3,2015,CAMPAGNE,String,,0
ES51,2015,campanya,Real,,0
NL,2015,CAT_GEWASCATEGORIE, String ,group_code,1
FR,2015,CODE_CULTU,String,original_code,1
FR,2015,CODE_GROUP,String,group_code,1
ES51,2015,comarca,String,,0
BE3,2015,CULT_COD,String,original_code,1
BE3,2015,CULT_NOM,String,original_name,1
ES51,2015,cultiu,String,original_name,1
FR,2015,CULTURE_D1,String,,0
FR,2015,CULTURE_D2,String,,0
DK,2015,CVR,String,,0
AT,2015,FART_ID,Real,,0
DE4,2015,FB_FLIK,String,,0
DE4,2015,FFH,Real,,0
AT,2015,FS_KENNUNG,Real,off_id,1
DK,2015,GB,Real,,0
AT,2015,GEO_ID,Real,,0
AT,2015,GEO_PART_KEY,Real,,0
AT,2015,GEO_TYPE,String,,0
NL,2015,GEOMETRIE_Area, Real ,,0
NL,2015,GEOMETRIE_Length, Real ,,0
BE2,2015,GEWASGROEP,String,group_name,1
AT,2015,GML_GEOM,Binary,,0
AT,2015,GML_ID,String,,0
AT,2015,GML_IDENTIFIER,String,,0
AT,2015,GML_LENGTH,Real,,0
DE4,2015,GROESSE_P,Real,off_area,1
BE3,2015,GROUPE_CUL,String,group_name,1
ES51,2015,grup,String,group_name,1
NL,2015,GWS_GEWAS, String ,original_name,1
NL,2015,GWS_GEWASCODE, String ,original_code,1
ES51,2015,ha,Real,off_area,1
BE2,2015,HFDTLT,String,original_code,1
ES51,2015,id_mun,String,off_id,1
FR,2015,ID_PARCEL,String,off_id,1
DK,2015,IMK_areal,Real,off_area,1
AT,2015,INSPIRE_ID,String,,0
DK,2015,Journalnr,String,,0
DE4,2015,K_ART,Integer,original_code,1
DE4,2015,K_ART_KULT,String,original_name,1
DE4,2015,K_ART_N,String,,0
DE4,2015,K_ART_NAME,String,,0
DE4,2015,KREIS_NR,Integer,,0
DE4,2015,LAND,String,,0
FR,2015,layer,String,,0
BE2,2015,LBLHFDTLT,String,original_name,1
BE2,2015,LBLPM,String,,0
BE2,2015,LENGTE,Real,,0
DE4,2015,LFDNR,Integer64,,0
AT,2015,LOG_PKEY,Real,,0
DK,2015,Marknr,String,,0
ES51,2015,municipi,String,,0
EE,2015,niitmise_tuvast_ajavahemik,String,,0
EE,2015,niitmise_tuvastamise_staatus,String,,0
BE3,2015,OBJECTID,Real,off_id,1
BE2,2015,OIDN,Integer64,,0
BE2,2015,OPPERVL,Real,off_area,1
DE4,2015,OVF,Real,,0
FR,2015,path,String,,0
EE,2015,pindala_ha,Real,off_area,1
BE2,2015,PM,String,,0
EE,2015,pollu_id,Integer,off_id,1
DE4,2015,PR_BINDUNG,String,,0
ES51,2015,provincia,String,,0
BE3,2015,SE_ANNO_CA,String,,0
ES51,2015,seca_regad,String,,0
DE4,2015,SHAPE_AREA,Real,,0
DE4,2015,SHAPE_LEN,Real,,0
AT,2015,SL_FLAECHE_BRUTTO_HA,Real,off_area,1
AT,2015,SNAR_BEZEICHNUNG,String,original_name,1
AT,2015,SNAR_CODE,String,original_code,1
BE3,2015,SURF_HA,Real,off_area,1
FR,2015,SURF_PARC,Real,off_area,1
EE,2015,taotleja_nimi,String,,0
EE,2015,taotleja_registrikood,String,,0
EE,2015,taotletud_kultuur,String,original_name,1
EE,2015,taotletud_maakasutus,String,,0
EE,2015,taotletud_toetus,String,,0
EE,2015,taotletud_toetus2,String,,0
EE,2015,taotlusaasta,Integer,,0
BE2,2015,UIDN,Integer64,off_id,1
DK,2016,Afgkode,Real,original_code,1
DK,2016,Afgroede,String,original_name,1
DE4,2016,AKTIVIERUN,Integer64,,0
BE2,2016,ALVID,Integer64,,0
ITI1,2016,Anno,Integer64,,0
ITI1,2016,AnnoImpian,Integer64,,0
DE4,2016,ANSAATJAHR,Integer64,,0
DE4,2016,ANTRAGSJAH,Integer64,,0
ITI1,2016,area,Integer64,off_area,1
ITI1,2016,Beneficiar,Integer64,,0
DE4,2016,BINDUNG,String,,0
BE3,2016,CAMPAGNE,String,,0
ES51,2016,campanya,Real,,0
NL,2016,CAT_GEWASCATEGORIE, String ,group_code,1
ITI1,2016,CodColtiva,Integer64,,0
ITI1,2016,CodDestina,String,,0
FR,2016,CODE_CULTU,String,original_code,1
FR,2016,CODE_GROUP,String,group_code,1
ITI1,2016,CodQualita,String,,0
ITI1,2016,CodUso,String,,0
ITI1,2016,ColturaPri,Integer64,,0
ES51,2016,comarca,String,,0
ITI1,2016,comune,String,,0
BE3,2016,CULT_COD,String,original_code,1
BE3,2016,CULT_NOM,String,original_name,1
ES51,2016,cultiu,String,original_name,1
FR,2016,CULTURE_D1,String,,0
FR,2016,CULTURE_D2,String,,0
DK,2016,CVR,String,,0
ITI1,2016,DataFineOc,String,,0
ITI1,2016,DataImpian,String,,0
ITI1,2016,DataInizio,String,,0
ITI1,2016,DescColtiv,String,,0
ITI1,2016,destinazio,String,,0
AT,2016,FART_ID,Real,,0
DE4,2016,FB_FLIK,String,,0
AT,2016,FS_KENNUNG,Real,off_id,1
DK,2016,GB,Real,,0
AT,2016,GEO_ID,Real,,0
AT,2016,GEO_PART_KEY,Real,,0
AT,2016,GEO_TYPE,String,,0
NL,2016,GEOMETRIE_Area, Real ,,0
NL,2016,GEOMETRIE_Length, Real ,,0
BE2,2016,GEWASGROEP,String,,0
AT,2016,GML_GEOM,Binary,,0
AT,2016,GML_ID,String,,0
AT,2016,GML_IDENTIFIER,String,,0
AT,2016,GML_LENGTH,Real,,0
BE3,2016,GROUPE_CUL,String,group_name,1
ES51,2016,grup,String,group_name,1
NL,2016,GWS_GEWAS, String ,original_name,1
NL,2016,GWS_GEWASCODE, String ,original_code,1
ES51,2016,ha,Real,off_area,1
BE2,2016,HFDTLT,String,original_code,1
DE4,2016,ID,Real,off_id,1
ES51,2016,id_mun,String,off_id,1
FR,2016,ID_PARCEL,String,off_id,1
ITI1,2016,IDCatastal,String,,0
ITI1,2016,IdEpocaDiS,Integer64,,0
ITI1,2016,IDFormaAll,Integer64,,0
ITI1,2016,IdPotenzia,Integer64,,0
ITI1,2016,IdRotazion,Integer64,,0
ITI1,2016,IDSpecie,Integer64,original_code,1
ITI1,2016,IdTipoIrri,Integer64,,0
ITI1,2016,IdTipoMa_1,Integer64,,0
ITI1,2016,IdTipoMant,Integer64,,0
ITI1,2016,IdTipoProt,Integer64,,0
ITI1,2016,IdTipoSemi,Integer64,,0
ITI1,2016,IDVarieta,Integer64,,0
DK,2016,IMK_areal,Real,off_area,1
AT,2016,INSPIRE_ID,String,,0
ITI1,2016,Irriguo,Integer64,,0
DK,2016,Journalnr,String,,0
DE4,2016,LAND,String,,0
FR,2016,layer,String,,0
ITI1,2016,layer,String,,0
BE2,2016,LBLHFDTLT,String,,0
BE2,2016,LBLPM,String,,0
BE2,2016,LENGTE,Real,,0
AT,2016,LOG_PKEY,Real,,0
DK,2016,Marknr,String,,0
ES51,2016,municipi,String,,0
EE,2016,niitmise_tuvast_ajavahemik,String,,0
EE,2016,niitmise_tuvastamise_staatus,String,,0
ITI1,2016,NrPiante,Integer64,,0
DE4,2016,NU_CODE,String,original_code,1
BE3,2016,OBJECTID,Real,off_id,1
ITI1,2016,objectid,Integer64,off_id,1
BE2,2016,OIDN,Integer64,,0
BE2,2016,OPPERVL,Real,off_area,1
DE4,2016,OVF,Integer64,,0
DE4,2016,PARZ_FL_NE,Real,off_area,1
FR,2016,path,String,,0
ITI1,2016,path,String,,0
EE,2016,pindala_ha,Real,off_area,1
BE2,2016,PM,String,,0
EE,2016,pollu_id,Integer,off_id,1
ITI1,2016,Produttivo,Integer64,,0
ES51,2016,provincia,String,,0
ITI1,2016,PROVINCIA,String,,0
ITI1,2016,qualita,String,,0
ES51,2016,seca_regad,String,,0
ITI1,2016,SestoSuFil,Integer64,,0
ITI1,2016,SestoTraFi,Integer64,,0
DE4,2016,SHAPE_AREA,Real,,0
DE4,2016,SHAPE_LEN,Real,,0
AT,2016,SL_FLAECHE_BRUTTO_HA,Real,off_area,1
AT,2016,SNAR_BEZEICHNUNG,String,original_name,1
AT,2016,SNAR_CODE,String,original_code,1
DE4,2016,SORTE,Integer64,,0
ITI1,2016,specie,String,original_name,1
BE3,2016,SURF_HA,Real,off_area,1
FR,2016,SURF_PARC,Real,off_area,1
EE,2016,taotleja_nimi,String,,0
EE,2016,taotleja_registrikood,String,,0
EE,2016,taotletud_kultuur,String,original_name,1
EE,2016,taotletud_maakasutus,String,,0
EE,2016,taotletud_toetus,String,,0
EE,2016,taotletud_toetus2,String,,0
EE,2016,taotlusaasta,Integer,,0
BE2,2016,UIDN,Integer64,off_id,1
ITI1,2016,uso,String,,0
ITI1,2016,UTE,Integer64,,0
ITI1,2016,varieta,String,,0
DK,2017,AFGKODE,Real,original_code,1
DK,2017,AFGROEDE,String,original_name,1
DE4,2017,AKTIVIERUN,Integer64,,0
BE2,2017,ALVID,Integer64,,0
IE,2017,ANC_IND,String,,0
ITI1,2017,Anno,Integer64,,0
ITI1,2017,AnnoImpian,Integer64,,0
DE4,2017,ANSAATJAHR,Integer64,,0
DE4,2017,ANTRAGSJAH,Integer64,,0
IE,2017,APP_HERD,String,,0
ITI1,2017,area,Integer64,off_area,1
ITI1,2017,Beneficiar,Integer64,,0
